,Intercept,C(Month)[T.2],C(Month)[T.3],C(Month)[T.4],C(Month)[T.5],C(Month)[T.6],C(Month)[T.7],C(Month)[T.8],C(Month)[T.9],C(Month)[T.10],C(Month)[T.11],C(Month)[T.12],CPI,Unemployment,Fuel_Price,Holiday_Flag,Cluster,Risk_Tier,Avg_Weekly_Sales
1,0.39148318685903993,0.04243751652024742,0.033052132911981134,0.009671324836901305,0.02708663535476522,0.01858474650937289,0.010287971329220165,0.040951075482612294,0.009055188994124193,0.030343357049743426,0.12689085544840403,-0.006321933403383023,-0.0014229127212239522,-0.015693169939617026,0.004654475739484184,-0.015362867307269358,0,Stable,1555264.3975524476
2,1.2875565486864589,0.041699405983883414,0.018517073915071826,0.02067348554276793,0.039581914642060984,0.02236005176381583,0.005644172569768394,0.03729905486383078,0.006495957488189092,0.031954167066942644,0.14307761811425154,0.006258919360084297,-0.005002371608385089,-0.03364635962694997,0.008106199536486093,-0.02678501512385762,0,Stable,1925751.3355244757
3,-0.23336417680659238,0.04116415883883944,0.012311672382405263,0.027171573220414847,0.030142482950435565,0.033225239139483095,0.011163478885038493,0.04080000157913398,0.019007105672268137,0.033771731319070596,0.15371929181937047,-0.02840046419184508,0.0008263095653990239,0.005205819042589585,-0.0032643562354150654,0.00777579863794399,0,Stable,402704.44104895106
4,3.7155876743608527,0.054434459211748165,0.015993449668465894,0.022557119267369617,0.029014198640277607,0.01568455109115801,-0.001022105683106512,0.008897895449356279,0.013095996728395481,0.02201386151039196,0.11749806989309378,-0.00935045947097192,-0.027517631852689878,-0.03588761115322918,0.008144190553972017,-0.040313169820460626,3,Moderately Exposed,2094712.9606993007
5,-0.7946538802411841,0.01139931408941912,0.03655221804991196,0.04591093171042587,0.03985638284752548,0.025716052350023444,0.01157215681865249,0.05559988191252825,0.005817769530488008,0.028873592062481773,0.18191106046629713,-0.05077047655857551,0.0031012569879539298,0.023484251684983852,-0.016418663470259894,0.05859860384239676,0,Stable,318011.8104895105
6,0.19521451984840676,0.05214076566364435,0.05056989372854747,0.04623957880464423,0.06005014204208769,0.04490875128702952,0.02853190744483787,0.03616543404165045,0.01665988129543724,0.05589120895374482,0.1849290194417753,0.008978502116158665,-0.0007945712977319584,-0.009201480621498018,-0.00044370657331042895,-0.008221471147784876,0,Stable,1564728.1862937063
7,-0.38377240787147054,0.08091588098055735,0.09518335626359904,0.03546612754773909,0.12601321194724305,0.1591343291872437,0.09926344757442945,0.06946075608068644,0.032406224424644206,0.08882157236377486,0.2583785440704067,0.08519720461894521,0.0010042713322058437,0.011902207620255673,-0.0006203720092519179,0.089773093009336,0,Stable,570617.3086713287
8,-0.2664410253167189,0.039910314658502866,-0.006225659427998412,0.015476854329235623,0.024142727571654872,0.004659903233488916,-0.000991237880559076,0.04164481015716443,-0.009841526062937467,0.023124615028121347,0.12790510329624122,-0.027370230011912522,0.0010503406059868981,0.008168256918460395,-0.007130530848063419,-0.03318590547469458,0,Stable,908749.5183916084
9,-0.4297027660868018,0.028905234147389047,0.01606100473197149,0.021449296041089694,0.02985344952831208,0.005113104550904336,-0.007441913206012227,0.045012953332663815,-0.008713985735869217,0.03625119263822216,0.13572691569753384,-0.037351718279192724,0.00164209791423231,0.012477071321613895,-0.006421896935809215,0.001520910740827608,0,Stable,543980.5523776223
10,3.1822954284756233,0.05922581200217257,0.011766157456094974,0.02277765487793036,0.027693561371172112,0.010433514687066403,0.0254544146960439,0.0047096631911744055,0.01285945031833502,0.02199518936888716,0.17598800815784416,-0.011909832154516825,-0.022951796750209877,-0.04158978821319041,0.027378394496680267,0.0004482371293911547,3,Moderately Exposed,1899424.5726573425
